a	एक
teepee	शंक्वाकार तंबू
teeshirt	टी शर्ट
teeter	झूमाझूमी,आगा पीछा करना
teethe	दाॅत निकलना
teething	दन्तोद्भवन
teetotal	मद्यत्याग
teetotaler	पूर्णतया मद्यत्यागी
teetotaling	मद्यत्याग
teetotalism	मद्यत्याग
teetotalist	पूर्णतया मद्यत्यागी
teetotaller	पूर्णतया मद्यत्यागी
teetotum	फिरकी,लट्टू
teflon	कडाही आदि
tegmen	आवरण
tehee	हीं-हीं करना
tehsil	तहसील,उपमंडल,अनुमण्डल
telaesthesia	अतीन्द्रिय दृष्टि
telamon	पुरूषस्तंभ
telary	जाले का,जाला बनानेवाला
telecast	दूरदर्शन पर प्रसारण करना,दूरदर्शन पर प्रसारण
telecommunication	दूर-संचार
telecommunications	दूरसंचार,दूरसंचार
telecommuting	घर से काम करना
telecottage	टैलीकटेज
telegram	तार,टेलीग्राम
telegraph	टेलीग्राफ,तारयंत्र
telegrapher	तार-यांत्रिक
telegraphic	तार द्वारा प्रेषित,तार के समान
telegraphically	तार के समान कम शब्दों में
telegraphy	तारसंचार,टेलीग्राफी
telemessage	तार
telemetric	दूरमापीय
teleological	सोद्देश्यवादी,प्रयोजन
telepathic	दूरसंवेदनीय
telepathically	पारेंद्रिय ज्ञान से,दूरसंवेदन से
telepathy	दूरसंवेदन,दूरबोध
telephone	टेलीफोन,दूरभाष
telephonebook	टेलीफ़ोन निर्देशिका
telephonic	टेलीफ़ोन का
telephonist	टेलीफ़ोन ऑपरेटर,टेलीफ़ोन प्रचालक
telephony	दूरभार.संचार
telephoto	दूरचित्रक
teleprinter	टेलीप्रिंटर
teleprompter	टेलीप्राम्पटर
telescope	दूरबीन,जोर से दबा देना
telescopic	दूरबीनी,टेलीस्कोपी,सूक्ष्मदर्शी,अंतःसर्पी
telescopically	टेलीस्कोप के समान
telesis	नियोजित सामाजिक विकास
teletext	टेलीटेक्स्ट
telethon	टेलीथन,दीर्घावधि प्रसारण
teletypewriter	दूरमुद्रक
televise	दूरदर्शन पर प्रसारित करना
television	टेलीविजन,दूरदर्शन
teleworking	घर से काम करना
telex	टेलेक्स करना,टेलेक्स मशीन,टेलेक्स
tell	सुनाना,कहना
tellable	कथनींय,वर्णनीय
teller	कहानी कहने वाला,बोलने वाला,मतगणक,गणक,गणक
telling	भेद खोलना,भेद खोलने वाला,ज़ोरदार,स्पष्ट,प्रभावशाली,दमदार
tellingly	स्पष्ट रूप से,प्रभावशाली ढंग से
telltale	भेद खोलने वाला,स्पष्ट संकेत देने वाला,चुगलखोर
tellurian	भूवासी
telluric	स्थलज
telly	टी वी,टी वी कार्यक्रम,टी वी
telophase	अन्त्यावस्था
telson	पुच्छखण्ड
temblor	भूकम्प
temerarious	दु:साहसी
temerity	दु:साहस,धृष्टता
temp	तापमान,अस्थायी रूप से काम करना,अस्थायी कर्मचारी
temp.	तापमान्
temper	मिजाज,तबीअत,स्वभाव
tempera	डिस्टेेम्पर
temperament	स्वभाव,चित प्रकृति,मिजाज
temperamental	अनिश्चित स्वभाव वाला,स्वभावगत,तुनकमिजाज़
temperamentally	स्वभाव की दृष्टि से
temperance	संयम,आत्मसंयम
temperate	संतुलित,संयमित,समशीतोष्ण
temperately	फ़िज़ूलखर्ची के बिना,संयम के साथ
temperature	ताप,तापमान
tempered	मन्दीकृत,पनियाना,मृदूकृत
tempest	तूफान,उपद्रव
tempestuous	प्रचण्ड,तूफ़ानी
templar	टेम्पलर
template	आदर्श,नमूना,साँचा
temple	मंदिर,देवालय
templet	दासा,सांचा
tempo	ताल,गति,शैली
temporal	सांसारिक,ऐहिक,लौकिक,अस्थायी,कालवाची
temporality	चर्च की धन.संपत्ति
temporalty	चर्च की धन.संपत्ति
temporarily	अस्थायी रूप से
temporariness	क्षणिकता,अस्थायित्व
temporary	अस्थायी,अस्थायी,अस्थायी कर्मचारी
temporise	टालमटोल करना
temporization	टाल-मटोल,अवसरवादिता
temporize	निर्णय करने में देर करना
tempt	लुभाना,प्रलोभन देना,परखना
temptation	लुभाने का तरीका,प्रलोभन,लालच
tempter	प्रलोभक,बहकाने वाला
tempting	लुभावना,मोहक,लुभाने वाला
temptingly	लुभावने ढंग से
temptress	कामोत्तेजना जगाने वाली स्त्री
ten	दस,दश
tenability	तर्कसंगति
tenable	तर्कसंगत,धार्य,मान्य
tenableness	विश्वसनीयता
tenace	इक्का और बेगम
tenacious	दृढ़,अटल,जिद्दी
tenaciously	दृढ़तापूर्वक
tenaciousness	दृढ़ता
tenacity	दृढ़ता
tenaculum	चिमटी
tenancy	काश्तकारी,किरायदारी,दखल,कब्जा,कार्यकाल
tenant	काश्तकार,असामी,किरायेदार,अधिभोक्ता
tench	एक प्रकार की यूरोपीय मछली
tend	प्रवृत होना,अग्रसर होना,देखभाल करना
tendencious	पक्षपातपूर्ण
tendenciously	पक्षपातपूर्ण ढंग से
tendency	प्रवृति,झुकाव
tendentious	पक्षपाती,तरफदार
tendentiousness	पक्षपात
tender	परिचर,परिचारक,चरवाहा,निविदा,कोमल,प्रस्तुत करना,नाजुक
tenderise	नरम करना
tenderize	नरम करना
tenderloin	जाँघ का मांसल भाग
tenderly	कोमलता से
tenderness	सहृदयता,स्नेहशीलता,पीड़ा,दयालुता
tendinous	कंडरा
tendon	कंडरा,नस
tendril	प्रतान
tenebrae	तिमिरिका
tenebrific	निशाकर
tenebrous	अंधकारपूर्ण
tenement	(चाल की) कोठरी
tenesmus	पेेचिश
tenet	सिद्धान्त,मत
tenfold	दसगुना
tenner	दस का नोट
tennis	टेनिस
tenon	जोड़,डबचूल
tenor	गति,दिशा,अभिप्राय:
tenotomy	कण्डरा-छेदन
tenpin	एक तरह का गेंद फेंकने का खेल
tenpins	टेनपिन्स
tense	कसा हुआ,ताना हुआ,तनाव,चिंतित
tensely	बेचैनी से,तनावपूर्ण ढंग से
tenseness	तनाव
tensible	तन्य
tensile	तनन
tensimeter	वाष्पदाबमापी
tension	तनन,तनाव,खींचाव
tensity	खिंचाव
tensive	आतानक
tensor	टेन्सर,तानिका
tent	तम्बू,खेमा
tentacle	स्पर्शक
tentative	प्रायोगिक,अतंरिम,कामचलाउ
tentatively	आज़माइशी तौर पर
tentativeness	अनिश्चय
tented	तंबू जैसा,तंबूदार
tenter	निरीक्षक,मशीनवाला
tenterhook	अॅंकड़ी
tenth	दसवाॅं
tenting	तंबू लगा कर रहना
tentmaker	तंबू बनाने वाला
tentorium	मस्तिश्कछदि
tenuis	अघोष स्पर्श व्यजंन
tenuity	तनुता,विरलता
tenuous	तनु,पतला
tenuously	परिसूक्ष्म रूप से
tenure	धृति,धारण,कार्यकाल
tepee	शंक्वाकार तंबू
tepid	कुनकुना,कदुष्ण,ढीला
tequila	मेक्सिको में बनी एकर प्रकार की तेज शराब
teratology	वैरूपिकी
terce	पूर्वाहिका
tercel	बाज
tercentenary	त्रिशताब्दी
tercentennial	तीन सौवीं वर्षगाँठ्,तीन सौवीं वर्षगाँठ
tercet	त्रिक
terebinth	तारपीन का पेड़
teredo	पोत-कीट,जहाजी कीड़ा
tergal	पृष्ठीय
tergiversate	टाल मटोल करना
tergum	पृष्ठक
term	नाम रखना,अवधि,सत्र,शब्द
termagancy	कर्कशता,लड़ाकापन
termagant	झगड़ालू स्त्री,कर्कशा
terminability	समाप्यता
terminal	सात्रिक,आखरी,सिरा
terminally	मरणासन्न रूप से
terminate	समाप्ता करना या हो जाना
termination	अंतभाग,अंतिम स्टेशन,समाप्ति,गर्भपात,समापन
terminator	समापक
terminological	पारिभाषिक
terminology	शब्दावली
terminus	अंतिम स्टेशन,लक्ष्य
termitary	बाॅबी,विमौट
termite	दीमक
termly	सात्रिक
terms	निबन्धन,शर्तें
tern	कुररी
ternal	त्रिधा
ternary	त्रिअंगी,त्रिधा,त्रयात्मक
ternate	त्रिपर्णकी,त्रिकविन्यासी
terra	पृथ्वी,धरती
terrace	कगार,छत,चबूतरा
terraced	सीढ़ीदार,कतारदार,कतारदार घरों वाला
terracing	सीढ़ीदार स्थान,सीढ़ीदार स्थान
terracota	पक्की मिट्टी
terracotta	पक्की मिटटी
terrain	भूभाग,क्षेत्र,मैदान
terraneous	स्थंलज
terrapin	रामानन्दी कछुआ
terraqueous	जलस्थलमय
terrasse	चबूतरा बनवाना
terrect	छल्ला
terrefied	डरा हुआ
terrene	पार्थिव,सांसारिक
terrestrial	पार्थिव,सांसारिक,भूमध्यरेखा,लौकिक
terrible	भयानक
terribly	भद्दा,बहुत ज़्यादा,बहुत
terricolus	भूमिवासी
terrier	एक छोटा शिकारी कुत्ता
terrific	भयानक,डरावना
terrifically	शानदार ढंग से
terrified	भयभीत
terrify	भयभीत करना
terrifying	भयंकर
terrifyingly	डरावने ढंग से
terrigenous	स्थलजात
terrine	टेरीन
territorial	क्षेत्रीय,प्रादेशिक
territoriality	प्रादेशिकता
territorially	क्षेत्र की दृष्टि से
territory	क्षेत्र,राज्यक्षेत्र,प्रदेश
terror	आतंक,त्रास
terrorise	आतंकित करना
terrorism	आतंकवाद
terrorist	आतंकवादी,आतंकवादी
terrorization	संत्रासन
terrorize	आतंकित करना
terry	टेरी
terrycloth	टेरी कपड़ा
terse	संक्षिप्त,सारगर्भित
tersely	संक्षिप्त रूप से
tertian	अॅंतरा,तिजरा,तिजारी
tertiary	तीसरा,तृतीय
tertius	तृतीय
tervalent	त्रि-संयोजक
terylene	एकश्विशेष प्रकार का कृत्रिम सूत
tessellate	चैपड़दार फर्श लगाना
test	परीक्षण,जाॅंच,परीक्षा
testa	बीजावरण,छिलका
testable	परीक्षण योग्य
testacean	चोलदार
testaceous	शंख,शुक्ति
testacy	कृतदित्सता
testament	विधान,वसीयत
testamur	प्रमाणपत्र
testate	कृतदित्स,बावसीयत
testation	दित्सा,वसीयत
testator	वसीयतकर्ता,दित्साकर्ता
testatrix	दित्साकतर्री
tested	जाँचा.परखा
tester	परीक्षक
testfiy	साक्ष्य देना,गवाही देना,प्रमाणित करना
testicle	अण्ड-ग्रन्थि
testicular	वृषण
testiculate	अण्डकार
testification	साक्ष्य देना
testifier	साक्षी,गवाह
testify	विश्वास प्रकट करना,प्रमाण प्रस्तुत करना,सिद्ध करना
testily	चिड़चिड़ा कर
testimonial	प्रमाण-पत्र,सिफारिशी पत्र
testimony	गवाही,प्रमाण
testiness	तुनकमिज़ाजी,चिड़चिड़ापन
testing	परीक्षा,जाँच,कष्टकर,परीक्षण
testmony	साक्ष्य,गवाही,प्रमाण,सबूत
testosterone	टेस्टस्टेरन
testrabasic	चतुक्षारकी
testy	चिड़चिड़ा
tetanus	सततपेशीसंकुचन,टिटेनस,धनुस्तंभ
tetany	पेशी-तनाव
tetartanopia	टिटार्टनोपिया
tetchiness	तुनकमिज़ाजी,चिड़चिड़ापन
tetchy	चिड़चिड़ा,बदमिजाज
tether	पगहा,रस्सी,पहुॅंच
tethered	रस्सी से बंधा हुआ
tetra	टेट्रा
tetrachord	अर्ध-अष्टक
tetracycline	टेट्रासाइक्लिन
tetrad	चार,चतुष्क,चैका
tetragon	चतुभुर्ज
tetragram	चतुर्वर्णी शब्द,चतुभुर्ज
tetragynous	चतुर्गर्भकेसरी
tetrahedral	चतुष्फलकीय
tetralogy	नाटक-चतुष्टय
tetrameral	चतुष्टयी
tetrameter	चतुष्पदी
tetrandrous	चतु:ष्पुकेसरी
tetrapetalous	चतुर्दलीय
tetrapterous	चतुष्पंखी
tetrarch	राज्यपाल,शासक
tetraspore	चतुष्कीबीजाणु
tetrastich	चैपाई
tetrasyllabic	चतुरक्षरीय
tetravalent	चतु:संयोजक
tetter	दाद,खाज
text	मूल,मूल-पाठ,विषय,पाठ्य
textbook	पाठ्यपुस्तकीय,पाठ्य पुस्तक
textile	कपड़ा,वस्त्र
textual	मूलपाठ-विषयक
textural	संरचना
texture	पोेत,बुनावट,संरचना,प्रकृति
textured	बुनावटदार
textusreceptus	सर्वमान्य पाठ
thalamus	अन्तपुर,हरम
thalidomide	थैलिडोमाइड
than	से,की अपेक्षा,तब
thanage	नवाबी
thanatophobia	मृत्यु-भीति
thane	नवाब
thank	धन्यवाद देना
thankful	कृतज्ञ,आभारी
thankfully	कृतज्ञता के साथ
thankfulness	कृतज्ञता
thankless	अनुपादेय,व्यर्थ
thanklessness	कृतघ्नता
thanks	धन्यवाद
thanksgiving	धन्यवादज्ञापन
that	कि,क्योंकि,वह,जो
thatch	छपपर,छान,छानी,फूस,केश
thatched	छप्परदार
thatcher	घास.फूस से छप्पर बनाने वाला
thatching	छाजन,छप्परबंदी
thaumaturge	करामाती,चमत्कारक
thaumaturgist	ओझा
thaw	गलना,पिघलना
the	वह,वही
theandric	ईश मानवीय
theanthropos	ईशमानव
thearchy	ईशतन्त्र
theater	युद्ध क्षेत्र,थियेटर,नाट्यकला,सिनेमा हल,नाटक,शल्य.कक्ष,नाट्यशाला,थियेटर
theatergoer	नाटक का शौकीन
theatre	थिएटर,रंगशाला
theatregoer	नाटक का शौकीन
theatrical	नाटकीय
theatrically	नाटकीय ढंग से,नाटकादि की दृष्टि से
theatricals	नाटक,नाटयाभिनय
theca	प्रावरक
thee	तुमको
theft	चोरी,चैर्य
theic	चाय-व्यसनी
their	उनका,इनका
theirs	उनका,इनका
theism	ईश्वरवाद
theist	आस्तिकवादी,ईश्वरवादी,आस्तिक
theistic	आस्तिकवादी
theistical	आस्तिकवादी
them	उन्हें,उनका
thematic	विषयक
thematically	विषय.वस्तु की दृष्टि से
theme	विषय,विषय-वस्तु,प्रसंग
themselves	स्वयं
then	तब,उस समय,इसलिए,अत:
thenar	हथेली,तलवा
thence	वहाॅं से,उस जगह सेे,तब से,उस कारण
thenceforth	तब से
thenceforward	उस समय से
theocentric	ईशकेंद्रित
theocracy	धर्मतन्त्र
theocrasy	ईश-संयुक्ति
theodicy	ईशशास्त्र
theodolite	थियाडोलाइट
theogony	देवोत्पत्ति
theolatry	ईशपूजा,देवपूजा
theologian	ब्रम्हाविज्ञानी,धर्मविज्ञानी
theological	आध्यात्मविद्या सम्बन्धी
theologically	धर्मशास्त्रीय ढंग से,धर्मशास्त्र की दृष्टि से
theologiser	धर्मशास्त्री
theologist	धर्मशास्त्री
theologizer	धर्मशास्त्री
theology	ईश्वर.मीमांसा,धर्मशास्त्र
theomachy	देवयुद्ध
theomania	धर्मोन्माद
theopathy	समाधि,हाल
theophany	ईशदर्शन,ईश-साक्षात्कार
theorem	प्रमेय
theoretical	सैद्धान्तिक
theoretically	तथ्यों के आधार पर,सैद्धांतिक रूप से
theoretician	सिद्धान्तवादी
theorise	अनुमान लगाना
theoriser	सिद्धांतकार
theorist	सिद्धांतकार
theorization	सिद्धान्त प्रस्तुत करना
theorize	अनुमान लगाना
theorizer	सिद्धांतकार
theory	सिद्धान्त,वाद,मत,परिकल्पना
theosophical	ब्रह्मविद्या
theosophy	ब्रह्मविद्या,थियोसोफ़ी,अध्यात्मविद्या
theotokos	ईशमाता
therapeutic	उपचारात्मक,शांतिदायक
therapeutical	चिकित्सीय,रोगहर
therapeutically	उपचारात्मक उद्देश्य से
therapeutics	चिकित्साशास्त्र
therapist	चिकित्सक
therapy	रोगोपचार,मनश्चिकित्सा
there	वहाॅं,उस स्थान,उसमें
thereabout	उसी के आस.पास,उसी के आस.पास
thereabouts	वहाॅं कहीं,लगभग
thereafter	उस के बाद,तब से
thereby	उसकेद्वारा
therefore	इसलिए,अत:
therefrom	उससे,वहाँ से
therein	उसमें
thereof	उसका
thereon	उस पर
thereto	उससे
thereupon	उस पर,उसके बाद
therewith	उसके बाद
theriac	विषहर
therianthropic	पशुमानवीय
theriomorphic	पशुरूप
therm	उष्णता का माप
thermal	उष्मीय,गरम
thermic	ऊष्मीय
thermion	तापायन
thermochemistry	ऊष्मा-रसायन
thermodynamic	ऊष्मागतिक
thermodynamical	ऊष्मागतिक
thermodynamics	ऊष्मागतिकी
thermometer	तापमापी,थर्मामीटर
thermonuclear	ताप-नाभिकीय
thermoregulator	तापस्थापी
thermos	थर्मस
thermoscope	तापदर्शी
thermostat	तापस्थायी
thermostatic	तापस्थैतिक
thermostatically	तापस्थैतिक ढंग से,तापस्थापी द्वारा
theroid	पशुवृतिक
thesaurus	कोश
these	ये
thesis	शोध-प्रबन्ध
thespian	नाट्य संबंधी
theurgy	चमत्कार
thewed	हृष्ट-पुष्ट
thews	बाहुबल
they	वे,ये,लोग
thiamin	थइमिन
thiamine	थइमिन
thick	माटा,गाढ़ा,घना,सघन
thicken	गाढ़ा मोटा बनाना
thickener	गाढ़ा करने वाला पदार्थ
thickening	पेचीदा होता,स्थूलन,गहराता,प्रगाढ़न,गाढ़ा करने वाला पदार्थ
thicket	झुरमुट
thickheaded	बेवकूफ़,बेवकूफ़ी भरा
thickly	लगातार,भर्राई हुई आवाज़ में,सघनतापूर्वक,गाढ़ी परत के साथ
thickness	मोटाई,गाढ़ापन
thickset	घना,सघन
thief	चोर,तस्कर
thieve	चोरी करना
thievery	चोरी
thieving	चोरी करने वाला,चोरी
thievish	चोर सा,चोर - जैसा
thigh	जांघ,जंघा
thigmotaxis	स्पर्शानुचलन
thill	बम
thimble	अंगुश्ताना,धातुछल्ला
thimbleful	थोड़ी.सी मात्रा
thin	पतला,बारीक,तनु
thine	तेरा
thing	चीज,वस्तु,पदार्थ,काम
thingamabob	क्या नाम है उसका
things	वस्ट्र,सामान,काम
thingumabob	क्या नाम है उसका
thingumajig	क्या नाम है उसका
thingummy	क्या नाम है उसका
thingy	क्या नाम है उसका
think	विचार करना,सोचना
thinkable	कल्पनीय
thinker	सोचने वाला,विचारक
thinking	सोच,विचारणा,विचारशील
thinly	हल्का सा,उत्साहहीन ढंग से,विरलता से,पतली परत में,पतले टुकड़ों में
thinned	पतला किया हुआ
thinner	पतला करने वाला पदार्थ
thinness	पतलापन,पतलापन,महीनता,दुबलापन,विरलता
third	तीसरा,तृतीय
thirdly	तीसरा
thirst	प्यास,पिपासा
thirster	तरसने वाला,प्यासा
thirstily	आतुरतापूर्वक,प्यासे ढंग से
thirstiness	प्यास,प्यास,सूखा
thirsty	प्यासा,प्यासा,सुखा,प्यासा,व्याकुल,उत्सुक,जरूरती,सुखा,प्यासा
thirteen	तेरह,त्रयोदश
thirteenth	तेरहवाॅं
thirties	तीस का दशक
thirtieth	तीसवाॅं,त्रिंश
thirty	तीस
this	यह
thistle	ऊॅटकटारा,भट-कटैया
thistledown	थिसलबीज रोम
thither	उधर,परला
tholepin	चप्पू की टेक
thong	कोड़ा,तसमा
thoracic	वक्षीय,वक्ष
thorax	वक्ष,छाती,सीना
thorium	थोरियम
thorn	काॅंटा
thornless	बिना काँटों का
thorny	पेचीदा,कँटीला
thorough	पूरा,पूर्ण,पूरा,संपूर्ण,पूरा,संपूर्ण,तफ़सीली,पूरा,पूर्ण,संपूर्ण,पूर्ण
thoroughbred	अच्छी नस्ल का,अच्छी नस्ल का पशु,कुलीन,अच्छी नस्ल का घोड़ा
thoroughfare	सार्वजनिक मार्ग,आम रास्ता
thoroughgoing	कट्टर,पक्का
thoroughly	पूर्ण रूप से,अच्छी तरह से
thoroughness	संपूर्णता
thorp	गाँव
thorpe	गाॅंव,पल्ली,खेड़ा
thorugh	पूरा,सम्पूर्ण,पूर्ण
those	वे
thou	तू
though	यद्यपि
thought	विवेचन,विचार,राय
thoughtful	विचारमग्न,विचारशील
thoughtfully	सहृदयतापूर्वक,विचारमग्न ढंग से
thoughtfulness	सहृदयता,परवाह,सावधानी,चिंतन
thoughtless	विचारशून्य,बेलिहाज़
thoughtlessly	बेलिहाज़ी से,बेध्यानी से,विचारहीनतः,बिना विचारे,बिना सोचे,अनसोचे
thoughtlessness	लापरवाही,बेलिहाज़ी
thousand	सहस्रक,हजार
thousands	हज़ारों
thousandth	हज़ारवाँ,हज़ारवाँ,हज़ारवाँ भाग
thraldom	दासता
thrall	दास,दासता
thrash	खूब मारना,मात करना
thrashing	भारी हार,पिटाई
thrasonical	शेखीबाज
thread	तागा,धागा,सूत,क्रम
threadbare	घिसा.पिटा,तार.तार
thready	रेशेदार
threat	धमकी,तर्जन,आशंका
threaten	धमकी देना
threatening	आशंकाप्रद,धमकी भरा
threateningly	धमकाने के अंदाज़ में
three	तीन
threefold	तीन गुन्,तिगुन्,तीन गुना,तिगुना
threepence	तीन पेंस की रकम
threepenny	साधारण,सस्ता
threesome	तिकड़ी
threnode	शोकगीत,मरसिया
threnody	शोक.गीत
thresh	दाॅना,दाॅवना,गाहना
threshing	गहाई
threshold	देहली,देहरी,द्वार
thresttle	थ्राॅटल,वाष्परोधी,गला घोंटना
thrice	तीन बार,तीनगुना
thrift	मितव्ययिता
thriftlessness	फ़िज़ूलखर्ची
thrifty	मितव्ययी
thrill	रोंमांचित करना,पुलकित कर देना
thrilled	बहुत खुश
thriller	सनसनीखेज़ सिनेमा,सनसनीखेज़ नाटक,सनसनीखेज़ किताब
thrilling	सिहरा देने वाला,रोमांचक
thrillingly	रोमांचकारी ढंग से
thrips	कीट
thrive	फलना-फूलना,बढ़ना
thriving	फलता-फूलता,सफल
throat	गला,कठं
throated	कण्ठ वाला
throatily	भर्राई आवाज़ के साथ
throaty	फटा
throb	धड़कना,काॅंपना
throbbing	स्पंदनशील,फटफटाहट,धमक
throes	टीस,हूक,कसक,वेदना
thrombocyte	बिंबाणु
thrombosis	धनास्रता
throne	राज सिंहासन
throng	भीड़
throstle	बाम्कार,चरखा
throttle	उपरोधक,सांस रोकना,गला घोंट देना,त्वरित्र
throttling	उपरोधी
through	के आर-पार,में से,के द्वारा
throughout	पूर्णतया,नितान्त,बिलकुल
throughway	द्रुतमार्ग
throw	फेंकना,क्षेप
throwaway	इस्तेमाल के बाद फेंका जाने वाला,लापरवाही से कहा गया,प्रचार.पर्ची,सड़कों पर घूमने वाला परित्यक्त लड़का,फेंका हुआ
throwback	पूर्वजानुरूप,आवर्तन,आवर्तन,पूर्वजानुरूप,पुनरावर्तन
thrower	कुम्हार,बटाई करने वाला,फेंकने वाला
throwster	बटाई करने वाला
thru	सीधा
thrum	झब्बा,धागा,झंकारना
thrush	बाम्कार,मुॅंह के छाले
thrust	धकेलना,घुसाना,दबाव डालना,प्रहार,प्रतिबल
thruster	अपनी ओर ध्यान आकर्षित कराने वाला,प्रक्षेपक
thruway	द्रुतमार्ग
thud	धमाका
thug	ठग
thuggery	ठगी
thuggish	ठग के समान
thuja	थूजा,मोरपंखी
thumb	अॅंगूठा,अगुष्ठ
thumbnail	अँगूठे का नाखून,संक्षेप में लिखित
thumbscrew	अँगूठे का शिकंजा
thumbtack	छोटी कील,ड्राइंग पिन
thump	मारना,प्रहार करना,घूॅंसा
thumping	भारी,धमाका
thunder	गरज,वज्र
thunderbolt	गाज,विद्युत्,बिजली
thunderclap	बिजली की कड़क,मेघ गर्जन,गाज
thundercloud	तूफ़ानी बादल
thundering	कानफोड़ू
thunderous	कानफोड़ू
thunderstorm	मेघ गर्जन और बिजली वाला तूफ़ान,तड़ित झंझा
thunderstruck	भौंचक्का
thurible	धूपदान
thurifer	धूपवाहक
thuriferous	लोबन पैदा करनेवाला
thurification	धूपन
thus	ऐसा,इस प्रकार,उस प्रकार,इसलिए,अत:
thwack	लाठी की मार
thwart	व्यर्थ कर देना,आड़ा
thwarter	विरोधी
thwartwise	आड़ा
thy	तेरा
thyme	थाइम,बनजवायन
thymol	अजवायन का सत
thymus	थाइमस,बाल्यग्रन्थि
thyroid	वर्माकार,टेटुुआ
tiara	त्रिमुकुट
tibia	टिबिआ,अन्तर्जघिका,नली
tic	टिक,पेशी-संकुचन,पेशी
tichodrome	टाइकोड्रोमअ
tick	किलनी,किलना,बदमाश,निशान,गिलाफ,उधार
ticker	घड़ी,दिल
ticket	टिकट
ticking	धारी वाला मोटा कपड़्
ticking/tick	गिलाफ का मोटा कपडा
tickle	गुदगुदाना
tickler	गुदगुदानेवाला,जटिल समस्या
tickling	गुदगुदाने का,गुदगुदी
ticklish	गुलगुलिया,नाजुक
ticktacktoe	टिक टैक टो
ticktacktoo	टिक टैक टू
tidal	ज्वारीय,ज्वार
tidbit	चटपटी खबर,छोटा.मोटा निवाला
tiddler	बच्चा
tiddley	नशे में धुत्त
tiddly	नशे में धुत्त,ज़रा सा
tiddlywinks	टिडलीविंक्स
tide	ज्वार-भाटा,काल,प्रवाह
tiderip	अशांत जल.क्षेत्र
tideway	बहाव का मार्ग
tidily	साफ़.सुथरे ढंग से
tidiness	सुव्यवस्था,साफ-सुथरापन
tidings	समाचार,खबर
tidology	ज्वार-भाटा विज्ञान
tidy	ठीक ठाक,सुव्यवथित
tidyup	तैयार होना
tie	बांधना,गांठ देना,मिलाना,बराबर होना
tiebreak	निर्णायक काल,टाई ब्रेक
tiebreaker	विजेता निश्चित करने के लिये अतिरिक्त प्रश्न,टाई ब्रेकर,निर्णायक काल
tied	बंधा हुआ,सहबद्ध
tier	पंक्ति,कतार
tierce	पूर्वान्हिका,तीन लगातार पत्ते
tiercel	बाज
tiercet	त्रिक
tiered	परतदार,तहदार
tieup	प्रतिबंध या रोक लगाना
tiff	खीज,नाराजगी
tiffany	महीन मलमल,टिफनी
tig	छुआ.छुऔवल
tige	दण्ड,डण्डी
tiger	बाघ
tigerish	क्रूर,नृशंस
tigermoth	शेर तितली
tight	कड़ा,मजबूत,कसाहुआ,चुस्त,तंग,सख्त
tighten	कसना,जकड.ना
tightfistedness	कृपणता
tightlipped	रहस्यात्मक
tightly	कसकर,दृढ.ता से
tightness	कड.ापन,कसाव,तनाव
tightrope	कसी हुई,तनी हुई रस्सी
tights	मोटे कपड़े की टाइट्स,टाइट्स
tigress	बाघिन
tike	कुत्ता,निकम्मा या दोगला कुत्ता
tilbury	दोपहिया घोड.ा गाड.ी
tilde	लहरिल डैश
tile	खपड.ा,खपरा
tiled	टाइल से आच्छादित
till	दराज,ड्रावर,जब तक,तक
tillable	कृष्य,जोतने योग्य
tillage	जोताई,जुताई,खेती
tiller	जोतने वाला,किसान,खेतिहर
tilt	चंदवा,वितान,झुकाव,बड.ी तेजी से
tilth	जोताई,जोती हुई जमीन
timbal	नक्कारा
timber	इमारती लकड.ी
timbered	वृक्ष-बहुल,वृक्षावत
timberland	वन
timberline	वृक्षविकास.रेखा
timbre	ध्वनिरूप,ध्वनि का विशिष्ट स्वरूप
timbrel	डफली
time	समय
timed	नियतकालिक
timeframe	समय.सीमा
timekeeper	घड़ी,समयपाल,समयपाल
timeless	असामयिक,शाश्वत,कालातीत
timelessly	असामयिक ढंग से,शाश्वत रूप से
timelessness	शाश्वतता
timeliness	समयोचितता,सामयिकता
timely	समयोेचित
timepiece	घड़़ी
timer	समयपाल
times	गुना,परिस्थिति,बार,समय
timescale	घटनाओं से सम्बन्धित समय
timeserving	समयानुवर्ती
timetable	समय सारणी
timetable	समयसारिणी के अनुसार योजना करना,समयसारिणी,समयसारिणी,टाइमटेबल
timetabling	समयसारिणी के अनुसार प्रबंधन
timid	भीरू,कातर,कायर
timidity	घबराहट,डर
timidly	डरते.डरते,संकोचपूर्वक
timidness	घबराहट
timing	कालमापन
timocracy	धनिक-तन्त्र
timorous	भीरू,कातर
timorously	डरते.डरते
timorousness	घबराहट,डर
timpani	नगाड़ा,टिंपैनी
timpanist	नगाड़ावादक,टिंपैनीवादक
timpano	नक्कारा
tin	टिन,टीन
tincal	टंकण,सोहागा
tinctorial	रंग,रंजक
tincture	टिंचर,घोल,आभा,गंध
tinder	सोख्ता
tinderbox	विस्फोटक स्थिति वाला स्थान,चकमक.डिबिया
tine	काॅटा,नोक
tined	दाँतेदार
tinfoil	टीन की पन्नी
ting	टनटन,टनटनाना
tinge	आभा,झलक,रंगत,गंध
tingle	झुनझुनी,जलन
tingling	सिहरन
tiniest	सबसे नन्हा
tinker	ठठेरा,कसेरा,पंजेरा,मरम्मत
